region;features;selected_features;score
region_1;['Face'];[0];1
region_3;['Signal'];[0];1
region_2;['Signal'];[0];1
region_2;['Signal_left'];[0];1
region_3;['Signal_left'];[0];1
region_2;['IPU_left'];[0];1
region_3;['IPU_left'];[0];1
region_2;['IPU'];[0];1
region_3;['IPU'];[0];1
region_2;['talk'];[0];1
region_3;['talk'];[0];1
region_3;['talk_left'];[0];1
region_2;['talk_left'];[0];1
region_3;['IPU_left', 'IPU'];[0];0.77466251298027
region_2;['IPU_left', 'IPU'];[0];0.7798546209761164
region_3;['IPU', 'talk'];[0];0.7670474212530287
region_2;['IPU', 'talk'];[0];0.7798546209761164
region_5;['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];[0, 1, 2, 3];0.7982000692281066
region_4;['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];[0, 1, 2, 3];0.7916233991000347
region_3;['IPU_left', 'talk_left'];[0];0.7767393561786086
region_2;['IPU_left', 'talk_left'];[0];0.7791623399100035
region_4;[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15];0.9304257528556594
region_4;['IPU'];[0];1
region_5;[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 2, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15];0.9387331256490135
region_4;['IPU_left'];[0];1
region_5;['IPU'];[0];1
region_4;['talk_left'];[0];1
region_5;['IPU_left'];[0];1
region_4;['talk'];[0];1
region_5;['talk_left'];[0];1
region_5;['talk'];[0];1
region_3;[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', 'IPU_left'];[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16];0.9401176877812392
region_2;['IPU_left', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];0.9304257528556594
region_1;['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz'];[0, 1, 2, 6, 8, 10, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24];0.9709241952232607
region_1;['Face'];[0];1
region_1;['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes', ' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];[0, 1, 2, 5, 6, 7, 8, 9, 10, 11];0.9560401523018346
region_4;[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', 'IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18];0.9415022499134649
region_5;['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21];0.9532710280373832
region_1;['Face', ' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];[1, 2, 3, 4, 5, 6];0.9231568016614745
region_1;[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];[1, 2, 3, 4, 5];0.910349601938387
region_1;['Face', ' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];[1, 2, 3, 4, 5, 6];0.9203876773970232
region_4;[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', 'IPU'];[0, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16];0.9318103149878851
region_4;['Signal'];[0];1
