region;features;selected_features;score
region_5;['IPU', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16];0.9505019037729318
region_5;['Signal'];[0];1
region_4;['IPU', 'Signal'];[1];0.7577016268605054
region_4;['Signal_left'];[0];1
region_5;['IPU', 'Signal'];[1];0.7279335410176532
region_5;['Signal_left'];[0];1
region_4;['IPU_left', 'Signal_left'];[1];0.770508826583593
region_5;['IPU_left', 'Signal_left'];[1];0.7452405676704742
region_1;['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21];0.9723087573554863
region_1;[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[0, 1, 2, 3, 4, 5, 6, 8, 10, 13, 14, 15, 16, 17, 19, 20, 21];0.9688473520249221
region_1;['Face', ' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];[1, 2, 3, 4, 5, 6];0.9286950501903773
