region;features;selected_features;score
region_1;['Face_t5', 'Face_t4', 'Face_t3'];[1, 2, 3, 4];0.9205246913580247
region_3;['Signal_t5', 'Signal_t4', 'Signal_t3'];[1, 2, 3, 4];0.9205246913580247
region_2;['Signal_t5', 'Signal_t4', 'Signal_t3'];[0, 1, 2, 3];0.9220679012345679
region_5;['IPU_t5', 'IPU_t4', 'IPU_t3', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3'];[1, 2, 3, 4];0.9194958847736625
region_4;['IPU_t5', 'IPU_t4', 'IPU_t3', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3'];[0, 1, 3, 4];0.9174382716049383
region_3;['Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[1, 2, 3, 4];0.9176954732510288
region_2;['Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[0, 1, 2, 4];0.9161522633744856
