region;features;selected_features;score
LeftVentralMotor;['Signal_t7', 'Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];[1, 2, 3, 4];0.8622047244094488
LeftDorsalMotor;['Signal_t7', 'Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];[0, 2, 3, 4];0.8640218049666869
LeftDorsalMotor;['Signal_left_t7', 'Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[1, 2, 3, 4];0.8679588128407026
LeftVentralMotor;['Signal_left_t7', 'Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[1, 2, 3, 4];0.8643246517262265
LeftDorsalMotor;['IPU_left_t7', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];[1, 2, 3, 4];0.8428225317989098
LeftVentralMotor;['IPU_left_t7', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];[1, 2, 3, 4];0.839794064203513
LeftDorsalMotor;['IPU_t7', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 2, 3, 4];0.8216232586311326
LeftVentralMotor;['IPU_t7', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];[1, 2, 3, 4];0.8294972743791641
LeftDorsalMotor;['talk_t7', 'talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];[2, 3, 4];0.6562689279224713
LeftVentralMotor;['talk_t7', 'talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];[1, 2, 3, 4];0.6650514839491217
LeftDorsalMotor;['talk_left_t7', 'talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];[1, 2, 3, 4];0.6847365233192004
LeftVentralMotor;['talk_left_t7', 'talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];[1, 2, 3, 4];0.6838279830405815
LeftVentralMotor;['IPU_t7', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'IPU_left_t7', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];[1, 2, 3, 4, 5, 6, 7, 8, 9];0.87038158691702
LeftDorsalMotor;['IPU_t7', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'IPU_left_t7', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];[1, 2, 3, 4, 5, 6, 7, 8, 9];0.8709872804360993
LeftDorsalMotor;['Signal_left_t7', 'Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3', 'talk_t7', 'talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];[0, 1, 2, 3, 4];0.8800726832222895
LeftVentralMotor;['talk_t7', 'talk_t6', 'talk_t5', 'talk_t4', 'talk_t3', 'Signal_left_t7', 'Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[1, 2, 3, 4, 5, 6, 7, 8, 9];0.8752271350696548
LeftFrontaleyeField;[' pose_Rx_t7', ' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t7', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t7', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3', ' pose_Tx_t7', ' pose_Tx_t6', ' pose_Tx_t5', ' pose_Tx_t4', ' pose_Tx_t3', ' pose_Ty_t7', ' pose_Ty_t6', ' pose_Ty_t5', ' pose_Ty_t4', ' pose_Ty_t3', ' pose_Tz_t7', ' pose_Tz_t6', ' pose_Tz_t5', ' pose_Tz_t4', ' pose_Tz_t3'];[1, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 24, 25, 26, 29];0.93519079345851
LeftFusiformGyrus;[' pose_Rx_t7', ' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t7', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t7', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3', ' pose_Tx_t7', ' pose_Tx_t6', ' pose_Tx_t5', ' pose_Tx_t4', ' pose_Tx_t3', ' pose_Ty_t7', ' pose_Ty_t6', ' pose_Ty_t5', ' pose_Ty_t4', ' pose_Ty_t3', ' pose_Tz_t7', ' pose_Tz_t6', ' pose_Tz_t5', ' pose_Tz_t4', ' pose_Tz_t3'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29];0.9245911568746215
LeftVentralMotor;['IPU_left_t7', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'Signal_left_t7', 'Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[1, 2, 3, 4, 5, 6, 7, 8, 9];0.8803755299818292
LeftDorsalMotor;['IPU_left_t7', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'Signal_left_t7', 'Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];[1, 2, 3, 4, 5, 6, 7, 8, 9];0.8864324651726226
