region;dm_method;models_params;predictors;selected_predictors;selected_indices;recall;precision;fscore
region_1;None;{'alpha': 0.01};{'eyes_gradient_ts': ['Vx', 'Vy']};['Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t5', 'Vy_t4', 'Vy_t3'];[0, 1, 2, 3, 4, 5];0.3464506172839506;0.12002803021643042;0.17828805405214193
region_5;None;{'alpha': 0.01};{'speech_ts': ['IPU']};['IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 1, 2];0.345679012345679;0.1194939795762841;0.17759655680144978
region_3;None;{'alpha': 0.01};{'speech_left_ts': ['IPU']};['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];[0, 1, 2];0.38348765432098764;0.14706278101661333;0.21259717144175216
region_4;None;{'alpha': 0.01};{'speech_ts': ['IPU']};['IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 1, 2];0.3433641975308642;0.11789897214601434;0.17552793555569737
region_2;None;{'alpha': 0.01};{'speech_left_ts': ['IPU']};['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];[0, 1, 2];0.36496913580246915;0.13320247008840116;0.19517286742178394
region_1;None;{'alpha': 0.01};{'face_ts': ['Face']};['Face_t5', 'Face_t4', 'Face_t3'];[0, 1, 2];0.3464506172839506;0.12002803021643042;0.17828805405214193
region_3;None;{'alpha': 0.01};{'speech_ts': ['IPU']};['IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 1, 2];0.38348765432098764;0.14706278101661333;0.21259717144175216
region_2;None;{'alpha': 0.01};{'speech_ts': ['IPU']};['IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 1, 2];0.36496913580246915;0.13320247008840116;0.19517286742178394
region_4;None;{'alpha': 0.01};{'facial_features_ts': [' AU01_c', ' AU02_c', ' AU04_c', ' AU05_c', ' AU06_c', ' AU07_c', ' AU23_c', ' AU10_c', ' AU12_c', ' AU14_c', ' AU15_c', ' AU17_c', ' AU20_c', ' AU23_c', ' AU25_c', ' AU26_c'], 'face_ts': ['Face'], 'speech_ts': ['IPU']};[' AU01_c_t5', ' AU01_c_t4', ' AU01_c_t3', ' AU02_c_t5', ' AU02_c_t4', ' AU02_c_t3', ' AU04_c_t5', ' AU04_c_t4', ' AU04_c_t3', ' AU05_c_t5', ' AU05_c_t4', ' AU05_c_t3', ' AU06_c_t5', ' AU06_c_t4', ' AU06_c_t3', ' AU07_c_t5', ' AU07_c_t4', ' AU07_c_t3', ' AU23_c_t5', ' AU23_c_t4', ' AU23_c_t3', ' AU10_c_t5', ' AU10_c_t4', ' AU10_c_t3', ' AU12_c_t5', ' AU12_c_t4', ' AU12_c_t3', ' AU14_c_t5', ' AU14_c_t4', ' AU14_c_t3', ' AU15_c_t5', ' AU15_c_t4', ' AU15_c_t3', ' AU17_c_t5', ' AU17_c_t4', ' AU17_c_t3', ' AU20_c_t5', ' AU20_c_t4', ' AU20_c_t3', ' AU23_c_t5', ' AU23_c_t4', ' AU23_c_t3', ' AU25_c_t5', ' AU25_c_t4', ' AU25_c_t3', ' AU26_c_t5', ' AU26_c_t4', ' AU26_c_t3', 'Face_t5', 'Face_t4', 'Face_t3', 'IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53];0.3433641975308642;0.11789897214601434;0.17552793555569737
region_5;None;{'alpha': 0.01};{'facial_features_ts': [' AU01_c', ' AU02_c', ' AU04_c', ' AU05_c', ' AU06_c', ' AU07_c', ' AU23_c', ' AU10_c', ' AU12_c', ' AU14_c', ' AU15_c', ' AU17_c', ' AU20_c', ' AU23_c', ' AU25_c', ' AU26_c'], 'face_ts': ['Face'], 'speech_ts': ['IPU']};[' AU01_c_t5', ' AU01_c_t4', ' AU01_c_t3', ' AU02_c_t5', ' AU02_c_t4', ' AU02_c_t3', ' AU04_c_t5', ' AU04_c_t4', ' AU04_c_t3', ' AU05_c_t5', ' AU05_c_t4', ' AU05_c_t3', ' AU06_c_t5', ' AU06_c_t4', ' AU06_c_t3', ' AU07_c_t5', ' AU07_c_t4', ' AU07_c_t3', ' AU23_c_t5', ' AU23_c_t4', ' AU23_c_t3', ' AU10_c_t5', ' AU10_c_t4', ' AU10_c_t3', ' AU12_c_t5', ' AU12_c_t4', ' AU12_c_t3', ' AU14_c_t5', ' AU14_c_t4', ' AU14_c_t3', ' AU15_c_t5', ' AU15_c_t4', ' AU15_c_t3', ' AU17_c_t5', ' AU17_c_t4', ' AU17_c_t3', ' AU20_c_t5', ' AU20_c_t4', ' AU20_c_t3', ' AU23_c_t5', ' AU23_c_t4', ' AU23_c_t3', ' AU25_c_t5', ' AU25_c_t4', ' AU25_c_t3', ' AU26_c_t5', ' AU26_c_t4', ' AU26_c_t3', 'Face_t5', 'Face_t4', 'Face_t3', 'IPU_t5', 'IPU_t4', 'IPU_t3'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53];0.345679012345679;0.1194939795762841;0.17759655680144978
