region;dm_method;models_params;predictor_dict;predictors_list;selected_indices;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
region_1;None;{'strategy': 'stratified', 'random_state': None};{'eyetracking_ts': ['Face']};['Face'];['Face'];0.5045610034207526;0.5042035745564387;0.504345461434784;0.0;0.0;0.0
region_2;None;{'strategy': 'uniform', 'random_state': None};{'speech_ts': ['Signal']};['Signal'];['Signal'];0.47833523375142534;0.47931607652641195;0.4785107621372954;0.0;0.0;0.0
region_3;None;{'strategy': 'uniform', 'random_state': None};{'speech_ts': ['Signal']};['Signal'];['Signal'];0.4823261117445838;0.4844035576424454;0.4829084152570628;0.0;0.0;0.0
region_4;None;{'strategy': 'stratified', 'random_state': None};{'speech_ts': ['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters']};['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];0.5057012542759407;0.5058081945367501;0.5057348379015566;0.0;0.0;0.0
region_5;None;{'strategy': 'stratified', 'random_state': None};{'speech_ts': ['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters']};['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];['IPU', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters'];0.5153933865450399;0.5154389001890286;0.5154154742428132;0.0;0.0;0.0
