region;dm_method;models_params;predictor_dict;predictors_list;selected_indices;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 10, 'bootstrap': True};{'eyetracking_ts': ['Face']};['Face'];['Face'];0.4982896237172178;0.5002553679425196;0.4577628027447906;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 300, 'bootstrap': True};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];0.7309007981755986;0.7306806684928009;0.7304460252588;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 300, 'bootstrap': True};{'eyetracking_ts': ['Face']};['Face'];['Face'];0.5017103762827823;0.4893220795957471;0.46468908696262945;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 50, 'bootstrap': True};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];0.6647662485746865;0.6677987235717044;0.6628037775371549;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 10, 'bootstrap': True};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'], 'eyetracking_ts': ['Face']};[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Face'];[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Face'];0.6470923603192702;0.647063002575377;0.6445457329755216;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 300, 'bootstrap': True};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz']};[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'];0.7080957810718358;0.7078995925245684;0.7075500615657707;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 10, 'n_estimators': 300, 'bootstrap': True};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'], 'eyetracking_ts': ['Face']};[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Face'];[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Face'];0.5974914481185861;0.5979047186396945;0.5954140866214448;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 200, 'bootstrap': True};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];0.6744583808437856;0.6756047895128187;0.6713070168102372;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 100, 'n_estimators': 200, 'bootstrap': True};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r']};[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', ' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r'];0.7246294184720639;0.7298540957410227;0.7239898314379908;0.0;0.0;0.0
region_1;None;{'max_features': 'auto', 'max_depth': 10, 'n_estimators': 300, 'bootstrap': True};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz'], 'eyetracking_ts': ['Face']};[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Face'];[' pose_Rx', ' pose_Ry', ' pose_Rz', ' pose_Tx', ' pose_Ty', ' pose_Tz', 'Face'];0.6020524515393386;0.604902221111371;0.5932877249261961;0.0;0.0;0.0
