region;dm_method;models_params;predictor_dict;predictors_list;selected_indices;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
region_1;None;{'kernel': 'rbf', 'C': 1};{'eyetracking_ts': ['Face']};['Face'];['Face'];0.5068415051311288;0.2568883113235881;0.340962616770014;0.0;0.0;0.0
region_2;None;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['Signal']};['Signal'];['Signal'];0.5342075256556442;0.5335507705723854;0.46378925066935434;0.0;0.0;0.0
region_3;None;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['Signal']};['Signal'];['Signal'];0.5370581527936146;0.5360214544980693;0.5160866350079156;0.0;0.0;0.0
region_2;None;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['Signal_left']};['Signal_left'];['Signal_left'];0.5667046750285063;0.5778520540391232;0.5585051866304473;0.0;0.0;0.0
region_3;None;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['Signal_left']};['Signal_left'];['Signal_left'];0.5758266818700114;0.591006289582942;0.5646283276929742;0.0;0.0;0.0
region_1;None;{'kernel': 'linear', 'C': 1};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];[' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU23_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz', 'Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes'];0.507981755986317;0.5074304333873008;0.428685740785531;0.0;0.0;0.0
region_2;None;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left'];['IPU_left'];0.612884834663626;0.6152605380573664;0.612188390212446;0.0;0.0;0.0
region_3;None;{'C': 0.8, 'kernel': 'rbf'};{'speech_left_ts': ['IPU_left']};['IPU_left'];['IPU_left'];0.6117445838084379;0.6168685904755014;0.604791838083005;0.0;0.0;0.0
region_1;None;{'kernel': 'linear', 'C': 1};{'eyetracking_ts': ['Face']};['Face'];['Face'];0.508551881413911;0.2586250160896287;0.3428785171740051;0.0;0.0;0.0
region_2;None;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['IPU']};['IPU'];['IPU'];0.5684150513112884;0.5687551460384516;0.5685435663043323;0.0;0.0;0.0
