region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
LeftDorsalMotor;RFE_4;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 100};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.8014354066985646;0.5872042068361086;0.6777946383409206;0.0;0.0;0.0
LeftVentralMotor;RFE_4;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 300, 'max_depth': 10};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.7650602409638554;0.5847145488029466;0.662839248434238;0.0;0.0;0.0
LeftFrontaleyeField;RFE_4;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 50, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t6', 'x_t5', 'x_t4', 'y_t6'];0.4559386973180077;0.5288888888888889;0.48971193415637865;0.0;0.0;0.0
LeftDorsalMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 10};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t4'];0.8215258855585831;0.46065699006875477;0.5903083700440528;0.0;0.0;0.0
LeftVentralMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 10, 'max_depth': 10};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t4'];0.5034674063800277;0.605;0.5495836487509462;0.0;0.0;0.0
LeftDorsalMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 10};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t4', 'Signal_left_t3'];0.888283378746594;0.46906474820143884;0.6139359698681732;0.0;0.0;0.0
LeftVentralMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 300, 'max_depth': 10};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t4', 'Signal_left_t3'];0.8626907073509015;0.46279761904761907;0.6024213075060533;0.0;0.0;0.0
LeftFrontaleyeField;RFE_5;6;{'bootstrap': True, 'max_depth': 50, 'n_estimators': 200, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t6', 'x_t5', 'x_t4', 'y_t5', 'y_t3'];0.3397190293742018;0.5018867924528302;0.4051789794364052;0.0;0.0;0.0
LeftDorsalMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 50, 'n_estimators': 200};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.8487738419618529;0.47593582887700536;0.6098874204601077;0.0;0.0;0.0
LeftVentralMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 300, 'max_depth': 10};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.897364771151179;0.46181299072091364;0.6098020735155514;0.0;0.0;0.0
LeftFusiformGyrus;RFE_2;6;{'max_depth': 10, 'bootstrap': True, 'max_features': 'auto', 'n_estimators': 200, 'random_state': 5};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3', ' AU01_r_t6', ' AU01_r_t5', ' AU01_r_t4', ' AU01_r_t3', ' AU02_r_t6', ' AU02_r_t5', ' AU02_r_t4', ' AU02_r_t3', ' AU04_r_t6', ' AU04_r_t5', ' AU04_r_t4', ' AU04_r_t3', ' AU05_r_t6', ' AU05_r_t5', ' AU05_r_t4', ' AU05_r_t3', ' AU06_r_t6', ' AU06_r_t5', ' AU06_r_t4', ' AU06_r_t3', ' AU07_r_t6', ' AU07_r_t5', ' AU07_r_t4', ' AU07_r_t3', ' AU10_r_t6', ' AU10_r_t5', ' AU10_r_t4', ' AU10_r_t3', ' AU12_r_t6', ' AU12_r_t5', ' AU12_r_t4', ' AU12_r_t3', ' AU14_r_t6', ' AU14_r_t5', ' AU14_r_t4', ' AU14_r_t3', ' AU15_r_t6', ' AU15_r_t5', ' AU15_r_t4', ' AU15_r_t3', ' AU17_r_t6', ' AU17_r_t5', ' AU17_r_t4', ' AU17_r_t3', ' AU20_r_t6', ' AU20_r_t5', ' AU20_r_t4', ' AU20_r_t3', ' AU23_r_t6', ' AU23_r_t5', ' AU23_r_t4', ' AU23_r_t3', ' AU25_r_t6', ' AU25_r_t5', ' AU25_r_t4', ' AU25_r_t3', ' AU26_r_t6', ' AU26_r_t5', ' AU26_r_t4', ' AU26_r_t3', ' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];[' AU06_r_t5', ' AU23_r_t6'];0.2506527415143603;0.5013054830287206;0.33420365535248037;0.0;0.0;0.0
LeftFrontaleyeField;RFE_7;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t3'];0.40229885057471265;0.5232558139534884;0.45487364620938625;0.0;0.0;0.0
LeftDorsalMotor;RFE_4;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 300};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6348773841961853;0.455078125;0.5301478953356087;0.0;0.0;0.0
LeftVentralMotor;RFE_4;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 100, 'max_depth': 50};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.7669902912621359;0.44922826969943136;0.5665983606557378;0.0;0.0;0.0
LeftDorsalMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 10};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t3'];0.49113233287858116;0.632688927943761;0.5529953917050691;0.0;0.0;0.0
LeftVentralMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 10, 'max_depth': 10};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4'];0.8924137931034483;0.4578910120311394;0.6052385406922357;0.0;0.0;0.0
LeftFrontaleyeField;RFE_1;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];['Vx_t3'];0.8970775095298602;0.522189349112426;0.6601215521271622;0.0;0.0;0.0
LeftDorsalMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 50};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4', 'IPU_left_t3'];0.6125511596180082;0.6244784422809457;0.6184573002754821;0.0;0.0;0.0
LeftVentralMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 10, 'max_depth': 10};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4', 'IPU_left_t3'];0.8537931034482759;0.4561532792925571;0.5946205571565804;0.0;0.0;0.0
LeftFrontaleyeField;RFE_2;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];['Vx_t3', 'Vy_t5'];0.8602287166454892;0.526438569206843;0.653159671972986;0.0;0.0;0.0
LeftVentralMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 50, 'max_depth': 10};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.9172413793103448;0.4689703808180536;0.6206252916472235;0.0;0.0;0.0
LeftDorsalMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 100};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6302864938608458;0.5885350318471337;0.6086956521739131;0.0;0.0;0.0
LeftFusiformGyrus;RFE_3;6;{'max_depth': 10, 'bootstrap': True, 'max_features': 'auto', 'n_estimators': 50, 'random_state': 5};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3', ' AU01_r_t6', ' AU01_r_t5', ' AU01_r_t4', ' AU01_r_t3', ' AU02_r_t6', ' AU02_r_t5', ' AU02_r_t4', ' AU02_r_t3', ' AU04_r_t6', ' AU04_r_t5', ' AU04_r_t4', ' AU04_r_t3', ' AU05_r_t6', ' AU05_r_t5', ' AU05_r_t4', ' AU05_r_t3', ' AU06_r_t6', ' AU06_r_t5', ' AU06_r_t4', ' AU06_r_t3', ' AU07_r_t6', ' AU07_r_t5', ' AU07_r_t4', ' AU07_r_t3', ' AU10_r_t6', ' AU10_r_t5', ' AU10_r_t4', ' AU10_r_t3', ' AU12_r_t6', ' AU12_r_t5', ' AU12_r_t4', ' AU12_r_t3', ' AU14_r_t6', ' AU14_r_t5', ' AU14_r_t4', ' AU14_r_t3', ' AU15_r_t6', ' AU15_r_t5', ' AU15_r_t4', ' AU15_r_t3', ' AU17_r_t6', ' AU17_r_t5', ' AU17_r_t4', ' AU17_r_t3', ' AU20_r_t6', ' AU20_r_t5', ' AU20_r_t4', ' AU20_r_t3', ' AU23_r_t6', ' AU23_r_t5', ' AU23_r_t4', ' AU23_r_t3', ' AU25_r_t6', ' AU25_r_t5', ' AU25_r_t4', ' AU25_r_t3', ' AU26_r_t6', ' AU26_r_t5', ' AU26_r_t4', ' AU26_r_t3', ' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];[' AU02_r_t5', ' AU05_r_t3', ' AU06_r_t5'];0.2793733681462141;0.4841628959276018;0.35430463576158944;0.0;0.0;0.0
LeftFrontaleyeField;RFE_3;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];['Vx_t5', 'Vx_t3', 'Vy_t5'];0.3290978398983482;0.5048732943469786;0.3984615384615385;0.0;0.0;0.0
LeftVentralMotor;RFE_4;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 300, 'max_depth': 10};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.8234482758620689;0.5004191114836547;0.6225234619395204;0.0;0.0;0.0
LeftDorsalMotor;RFE_4;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 200};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.461118690313779;0.5909090909090909;0.5180076628352491;0.0;0.0;0.0
LeftVentralMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 10, 'max_depth': 10};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t3'];0.06666666666666667;0.29411764705882354;0.10869565217391304;0.0;0.0;0.0
LeftDorsalMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 10};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t3'];0.8019323671497585;0.5839929639401935;0.6758269720101782;0.0;0.0;0.0
LeftFrontaleyeField;RFE_4;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 50, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];['Vx_t3', 'Vy_t5', 'Vy_t4', 'Vy_t3'];0.5463786531130876;0.5212121212121212;0.533498759305211;0.0;0.0;0.0
LeftVentralMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 300, 'max_depth': 10};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t4', 'IPU_t3'];0.1103030303030303;0.489247311827957;0.18001978239366961;0.0;0.0;0.0
LeftDorsalMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 50};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t4', 'IPU_t3'];0.07004830917874397;0.3314285714285714;0.11565304087736791;0.0;0.0;0.0
LeftVentralMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 300, 'max_depth': 10};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4', 'IPU_t3'];0.12727272727272726;0.42338709677419356;0.19571295433364397;0.0;0.0;0.0
LeftDorsalMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 10};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4', 'IPU_t3'];0.01932367149758454;0.32;0.03644646924829157;0.0;0.0;0.0
LeftFrontaleyeField;RFE_5;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];['Vx_t5', 'Vx_t3', 'Vy_t5', 'Vy_t4', 'Vy_t3'];0.3545108005082592;0.4826989619377163;0.4087912087912088;0.0;0.0;0.0
