region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
LeftVentralMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 10, 'max_depth': 10};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t3'];0.8385542168674699;0.5893310753598645;0.6921929388363998;0.0;0.0;0.0
LeftDorsalMotor;RFE_1;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 10};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t3'];0.06698564593301436;0.42748091603053434;0.11582213029989658;0.0;0.0;0.0
LeftFrontaleyeField;RFE_1;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['y_t3'];0.8403575989782887;0.5069337442218799;0.632388274867852;0.0;0.0;0.0
LeftVentralMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 50, 'max_depth': 10};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4', 'Signal_t3'];0.010843373493975903;0.4090909090909091;0.02112676056338028;0.0;0.0;0.0
LeftDorsalMotor;RFE_2;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 50};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t4', 'Signal_t3'];0.11124401913875598;0.5314285714285715;0.18397626112759644;0.0;0.0;0.0
LeftFrontaleyeField;RFE_2;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t5', 'x_t4'];0.7113665389527458;0.5249764373232799;0.6041214750542299;0.0;0.0;0.0
LeftVentralMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'n_estimators': 10, 'max_depth': 10};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t5', 'Signal_t4', 'Signal_t3'];0.808433734939759;0.592756183745583;0.6839959225280327;0.0;0.0;0.0
LeftDorsalMotor;RFE_3;6;{'max_features': 'auto', 'random_state': 5, 'bootstrap': True, 'max_depth': 10, 'n_estimators': 50};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t5', 'Signal_t4', 'Signal_t3'];0.12679425837320574;0.5698924731182796;0.20743639921722112;0.0;0.0;0.0
LeftFrontaleyeField;RFE_3;6;{'bootstrap': True, 'max_depth': 10, 'n_estimators': 200, 'max_features': 'auto', 'random_state': 5};{'eyetracking_ts': ['x', 'y']};['x_t6', 'x_t5', 'x_t4', 'x_t3', 'y_t6', 'y_t5', 'y_t4', 'y_t3'];['x_t5', 'x_t4', 'y_t6'];0.6526181353767561;0.5161616161616162;0.5764241398759166;0.0;0.0;0.0
LeftFusiformGyrus;RFE_1;6;{'max_depth': 10, 'bootstrap': True, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r', ' pose_Rx', ' pose_Ry', ' pose_Rz'], 'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3', ' AU01_r_t6', ' AU01_r_t5', ' AU01_r_t4', ' AU01_r_t3', ' AU02_r_t6', ' AU02_r_t5', ' AU02_r_t4', ' AU02_r_t3', ' AU04_r_t6', ' AU04_r_t5', ' AU04_r_t4', ' AU04_r_t3', ' AU05_r_t6', ' AU05_r_t5', ' AU05_r_t4', ' AU05_r_t3', ' AU06_r_t6', ' AU06_r_t5', ' AU06_r_t4', ' AU06_r_t3', ' AU07_r_t6', ' AU07_r_t5', ' AU07_r_t4', ' AU07_r_t3', ' AU10_r_t6', ' AU10_r_t5', ' AU10_r_t4', ' AU10_r_t3', ' AU12_r_t6', ' AU12_r_t5', ' AU12_r_t4', ' AU12_r_t3', ' AU14_r_t6', ' AU14_r_t5', ' AU14_r_t4', ' AU14_r_t3', ' AU15_r_t6', ' AU15_r_t5', ' AU15_r_t4', ' AU15_r_t3', ' AU17_r_t6', ' AU17_r_t5', ' AU17_r_t4', ' AU17_r_t3', ' AU20_r_t6', ' AU20_r_t5', ' AU20_r_t4', ' AU20_r_t3', ' AU23_r_t6', ' AU23_r_t5', ' AU23_r_t4', ' AU23_r_t3', ' AU25_r_t6', ' AU25_r_t5', ' AU25_r_t4', ' AU25_r_t3', ' AU26_r_t6', ' AU26_r_t5', ' AU26_r_t4', ' AU26_r_t3', ' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];[' AU23_r_t3'];0.8263707571801566;0.5043824701195219;0.6264225630875804;0.0;0.0;0.0
